
Date,CO(GT),T,RH
2004-03-10,1.9666666666666668,12.033333333333333,54.9
2004-03-11,2.1458333333333335,9.8375,64.075
2004-03-12,2.5708333333333333,11.2875,51.09583333333333
2004-03-13,2.5833333333333335,12.866666666666667,51.53333333333333
2004-03-14,2.3666666666666667,16.0125,48.85
2004-03-15,3.358333333333333,17.366666666666667,50.32083333333333
2004-03-16,2.6541666666666663,18.625,44.8375
2004-03-17,2.9458333333333333,18.779166666666665,41.166666666666664
2004-03-18,2.5875,17.7625,44.0875
2004-03-19,2.841666666666667,14.191666666666668,57.90416666666667
2004-03-20,2.025,15.862499999999999,52.18333333333334
2004-03-21,1.9083333333333332,17.2125,52.45416666666667
2004-03-22,2.0500000000000003,17.358333333333334,44.833333333333336
2004-03-23,1.9208333333333334,12.133333333333333,60.46666666666667
2004-03-24,1.925,11.674999999999999,59.0875
2004-03-25,1.9041666666666668,11.633333333333333,58.79583333333333
2004-03-26,1.8791666666666667,11.666666666666666,51.291666666666664
2004-03-27,1.7666666666666666,12.583333333333334,46.541666666666664
2004-03-28,1.5625,13.458333333333334,45.725
2004-03-29,1.4666666666666668,13.387500000000001,37.666666666666664
2004-03-30,2.1083333333333334,15.508333333333333,34.4625
2004-03-31,1.925,13.5875,55.025
2004-04-01,2.5500000000000003,13.579166666666666,44.74166666666667
2004-04-02,2.6833333333333336,17.941666666666666,49.104166666666664
2004-04-03,0.65,19.133333333333333,45.699999999999996
2004-04-04,0.0,18.89166666666667,50.1625
2004-04-05,1.6083333333333334,16.8625,53.95416666666667
2004-04-06,2.2333333333333334,16.925,48.20416666666667
2004-04-07,1.6375,14.320833333333333,54.71666666666667
2004-04-08,2.470833333333333,13.895833333333334,47.333333333333336
2004-04-09,2.4541666666666666,0.5,2.829166666666667
2004-04-10,1.7541666666666667,15.091666666666667,49.166666666666664
2004-04-11,1.1541666666666666,14.775,43.762499999999996
2004-04-12,0.8624999999999999,12.2125,52.979166666666664
2004-04-13,2.0541666666666667,13.058333333333332,53.050000000000004
2004-04-14,1.0708333333333333,15.487499999999999,47.35833333333333
2004-04-15,2.6166666666666667,14.841666666666667,51.22083333333333
2004-04-16,3.3041666666666667,14.091666666666667,69.34166666666667
2004-04-17,0.2791666666666667,15.545833333333334,64.27916666666667
2004-04-18,0.0,15.595833333333333,64.1375
2004-04-19,0.0,13.612499999999999,67.43333333333334
2004-04-20,0.0,16.258333333333333,56.90833333333333
2004-04-21,0.0,19.083333333333332,45.0
2004-04-22,0.0,21.0625,39.30833333333333
2004-04-23,2.8208333333333333,21.229166666666668,39.15
2004-04-24,2.004166666666667,20.083333333333332,48.520833333333336
2004-04-25,1.1916666666666667,15.625,41.19583333333333
2004-04-26,1.4333333333333333,16.795833333333334,38.55833333333333
2004-04-27,2.1333333333333333,20.616666666666667,35.55416666666667
2004-04-28,2.704166666666667,21.091666666666665,42.775
2004-04-29,3.0,18.916666666666668,51.19166666666666
2004-04-30,2.845833333333333,17.995833333333334,66.57083333333334
2004-05-01,1.9708333333333332,20.150000000000002,52.18333333333334
2004-05-02,1.5416666666666667,19.591666666666665,49.56666666666666
2004-05-03,2.0791666666666666,21.23333333333333,48.75416666666666
2004-05-04,2.2083333333333335,18.0125,66.27499999999999
2004-05-05,1.9333333333333333,16.2375,66.89166666666667
2004-05-06,1.9124999999999999,14.316666666666668,62.77916666666667
2004-05-07,2.1,15.458333333333334,55.583333333333336
2004-05-08,0.17500000000000002,14.283333333333333,59.30833333333334
2004-05-09,0.0,15.258333333333333,56.92083333333333
2004-05-10,1.5916666666666668,17.9375,50.4625
2004-05-11,2.6791666666666667,18.962500000000002,48.05416666666667
2004-05-12,2.5208333333333335,17.204166666666666,56.32083333333333
2004-05-13,2.3041666666666667,17.670833333333334,51.34166666666667
2004-05-14,2.225,21.833333333333332,37.30833333333333
2004-05-15,1.7083333333333333,21.037499999999998,34.387499999999996
2004-05-16,1.3416666666666668,22.3625,34.8375
2004-05-17,1.6125,21.349999999999998,26.020833333333332
2004-05-18,2.191666666666667,23.754166666666666,30.983333333333334
2004-05-19,2.2666666666666666,22.9875,37.69166666666667
2004-05-20,2.325,23.650000000000002,37.43333333333333
2004-05-21,2.1708333333333334,23.483333333333334,34.72083333333333
2004-05-22,1.925,22.037499999999998,42.354166666666664
2004-05-23,1.2458333333333333,22.3625,41.75833333333333
2004-05-24,1.0374999999999999,19.9375,25.666666666666668
2004-05-25,0.8208333333333333,17.75,16.883333333333333
2004-05-26,0.6625,17.054166666666667,13.5
2004-05-27,0.0,22.854166666666668,32.06666666666667
2004-05-28,0.6333333333333333,21.34166666666667,41.141666666666666
2004-05-29,0.775,20.270833333333332,39.0625
2004-05-30,0.6291666666666667,23.712500000000002,31.28333333333333
2004-05-31,1.2666666666666668,22.791666666666668,42.87083333333334
2004-06-01,1.75,20.325,66.15416666666667
2004-06-02,0.03333333333333333,23.895833333333332,52.68333333333334
2004-06-03,0.0,23.308333333333334,45.949999999999996
2004-06-04,0.9541666666666666,23.40833333333333,39.420833333333334
2004-06-05,1.45,23.8875,45.07083333333333
2004-06-06,1.0,21.90416666666667,48.729166666666664
2004-06-07,2.1333333333333333,25.558333333333334,37.7125
2004-06-08,2.4583333333333335,27.316666666666666,38.35
2004-06-09,2.466666666666667,29.441666666666666,35.84583333333333
2004-06-10,2.55,29.025000000000002,36.65833333333333
2004-06-11,2.095833333333333,28.425,29.583333333333332
2004-06-12,1.3166666666666667,27.325,33.55416666666667
2004-06-13,0.7291666666666666,22.304166666666664,42.84166666666667
2004-06-14,1.1624999999999999,22.183333333333334,43.89166666666667
2004-06-15,2.154166666666667,26.575,36.06666666666667
2004-06-16,2.158333333333333,25.9375,41.97083333333333
2004-06-17,2.15,25.291666666666668,42.625
2004-06-18,2.0458333333333334,28.2375,38.00416666666667
2004-06-19,1.2583333333333333,15.258333333333333,25.02916666666667
2004-06-20,1.3916666666666666,0.0,0.0
2004-06-21,1.8083333333333333,21.191666666666666,27.916666666666668
2004-06-22,2.1999999999999997,25.504166666666666,37.975
2004-06-23,2.3541666666666665,27.22083333333333,36.520833333333336
2004-06-24,1.7375,27.808333333333334,41.333333333333336
2004-06-25,2.0833333333333335,27.883333333333336,33.699999999999996
2004-06-26,1.4208333333333334,28.09166666666667,32.24583333333333
2004-06-27,1.3333333333333333,31.241666666666664,33.670833333333334
2004-06-28,2.1,31.099999999999998,33.2125
2004-06-29,2.3125,31.116666666666664,37.05833333333333
2004-06-30,2.375,31.608333333333334,38.65
2004-07-01,2.1625,30.45,39.69166666666667
